id,losing_streak,paused,created_at,polymarket_proxy_wallet,last_checked,polymarket_username,win_rate,avg_entry_price,realized_pnl,avg_entry_price_live,live_markets,live_picks,force_fetch
94,0,true,2025-12-25 17:53:23.333334+00,0x611c20bf7fdc4e88ec4f0172c99efcaa30d5c982,2025-12-25 21:41:39.398,MistaJenkins,0,,,,0,7,false
95,0,true,2025-12-25 17:53:26.86368+00,0xecce62c703daa9729f54d23ae26c5a194ab2fdb4,2025-12-25 21:41:40.236,schweinerschinkler,0,,,,0,3,false
96,0,true,2025-12-25 17:53:29.211865+00,0x1b62145861bb7afbd2944489fb6b592fc6d37b52,2025-12-25 21:41:41.062,paperliss,0,,,,0,1,false
97,159,true,2025-12-25 17:55:20.241348+00,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,2025-12-25 21:51:01.985,,9.782608695652174,,,,0,0,false
98,187,true,2025-12-25 17:55:27.887462+00,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,2025-12-25 21:51:23.661,,0,,,,0,0,false
99,42,true,2025-12-25 17:55:34.685753+00,0x2c57db9e442ef5ffb2651f03afd551171738c94d,2025-12-25 21:41:41.875,,0,,,,0,0,false
100,2,true,2025-12-25 17:55:43.206114+00,0x82a1b239e7e0ff25a2ac12a20b59fd6b5f90e03a,2025-12-25 21:51:02.875,,0,,,,0,0,false
101,167,true,2025-12-25 17:55:51.390639+00,0x9b979a065641e8cfde3022a30ed2d9415cf55e12,2025-12-25 21:40:59.528,,4.4692737430167595,,,,0,0,false
102,0,true,2025-12-25 17:55:59.10359+00,0x42592084120b0d5287059919d2a96b3b7acb936f,2025-12-25 21:41:35.34,,0,,,,0,0,false
103,168,true,2025-12-25 17:56:07.512397+00,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,2025-12-25 21:51:04.584,,0,,,,0,0,false
104,0,true,2025-12-25 17:56:14.229957+00,0x2f09642639aedd6ced432519c1a86e7d52034632,2025-12-25 21:51:25.408,,0,,,,0,0,false
105,0,true,2025-12-25 17:56:21.570607+00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,2025-12-25 21:41:36.152,,0,,,,0,0,false
106,5,true,2025-12-25 17:56:29.604093+00,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,2025-12-25 21:51:05.489,,16.666666666666664,,,,0,0,false
107,0,true,2025-12-25 17:56:37.447581+00,0xec981ed70ae69c5cbcac08c1ba063e734f6bafcd,2025-12-25 21:51:26.281,,0,,,,0,0,false
108,0,true,2025-12-25 17:56:45.665286+00,0x40471b34671887546013ceb58740625c2efe7293,2025-12-25 21:41:36.963,,0,,,,0,0,false
109,43,true,2025-12-25 17:56:53.914967+00,0x43372356634781eea88d61bbdd7824cdce958882,2025-12-25 21:51:15.376,,20.092915214866434,,,,0,0,false
110,0,true,2025-12-25 17:57:02.055602+00,0x41583f2efc720b8e2682750fffb67f2806fece9f,2025-12-25 21:51:27.15,,0,,,,0,0,false
111,0,true,2025-12-25 17:57:09.738343+00,0x75e765216a57942d738d880ffcda854d9f869080,2025-12-25 21:41:37.773,,0,,,,0,0,false
112,0,true,2025-12-25 17:57:19.113868+00,0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,2025-12-25 21:51:06.331,,0,,,,0,0,false
113,0,true,2025-12-25 17:57:26.93887+00,0x4638d71d7b2d36eb590b5e1824955712dc8ad587,2025-12-25 21:51:27.99,,0,,,,0,0,false
114,0,true,2025-12-25 17:57:34.567208+00,0x7744bfd749a70020d16a1fcbac1d064761c9999e,2025-12-25 21:41:38.59,,0,,,,0,0,false
115,0,true,2025-12-25 17:57:42.629295+00,0xa9b44dca52ed35e59ac2a6f49d1203b8155464ed,2025-12-25 21:51:07.189,,0,,,,0,0,false
116,34,true,2025-12-25 17:57:50.986024+00,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,2025-12-25 21:51:28.833,,51.02040816326531,,,,0,0,false
117,6,true,2025-12-25 17:57:58.941249+00,0x557bed924a1bb6f62842c5742d1dc789b8d480d4,2025-12-25 21:41:21.253,,40,,,,0,0,false
119,39,true,2025-12-25 17:58:15.263589+00,0x3c593aeb73ebdadbc9ce76d4264a6a2af4011766,2025-12-25 21:51:29.705,,7.142857142857142,,,,0,0,false
120,0,true,2025-12-25 18:12:00.881864+00,0x7f3c8979d0afa00007bae4747d5347122af05613,2025-12-26 03:43:09.846,,0,,,,0,13,false
121,0,true,2025-12-25 18:12:17.514636+00,0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,2025-12-25 21:42:04.899,,0,,,,0,0,false
122,2,true,2025-12-25 18:12:32.644791+00,0x1489046ca0f9980fc2d9a950d103d3bec02c1307,2025-12-25 21:42:05.75,,0,,,,0,0,false
123,1,true,2025-12-25 18:12:49.148951+00,0x74416687453b92a843de6d05810d6d1a12a15ed5,2025-12-25 21:51:08.027,,57.14285714285714,,,,0,0,false
124,0,true,2025-12-25 18:13:09.31083+00,0xf0d8d8c22d1e80257deebd45706c4c4ec7f168ca,2025-12-26 03:40:30.184,,0,,,,0,9,false
126,0,true,2025-12-25 18:13:37.507614+00,0x5c14eb6a6d5083c003daa8241ed559d2dc82cc49,2025-12-25 21:51:08.968,,61.53846153846154,,,,0,0,false
127,1,true,2025-12-25 18:13:51.501571+00,0x5f176a980de5b25f89f17473e5e8adef565c519e,2025-12-25 21:40:51.935,,66.66666666666666,,,,0,0,false
128,0,true,2025-12-25 18:14:06.164513+00,0x847b8fdacd157191d47c7ccb2aad5c67bbd21027,2025-12-26 03:41:00.925,,0,,,,0,1,false
129,0,true,2025-12-25 18:14:19.822909+00,0x9e875b707889a9d3d240177fcecafb0208bdcaa2,2025-12-26 03:39:24.072,,0,,,,0,3,false
130,0,true,2025-12-25 18:14:34.524574+00,0xb3c801a28cec936dfc105999f142ffdbf1bec1c9,2025-12-26 06:35:32.486,,0,,,,0,55,false
131,0,true,2025-12-25 18:14:48.88149+00,0x6853780d97f233b4fdf1089f2c648f45baad5846,2025-12-26 03:40:57.185,,0,,,,0,1,false
132,0,true,2025-12-25 18:15:02.850306+00,0x3b7ed1242417f4b8f6992b5dd53aa9415a2c23eb,2025-12-26 03:38:46.923,,0,,,,0,14,false
133,1,true,2025-12-25 18:15:18.118894+00,0xe79547fad69ab28a48a49c6424975abc3cef8cae,2025-12-25 21:40:53.635,,0,,,,0,0,false
134,0,true,2025-12-25 18:15:31.20513+00,0xe40ea00e74059c76c0035c919ef6b99c3e25a94d,2025-12-25 21:41:42.687,,0,,,,0,0,false
135,0,true,2025-12-25 18:15:47.79868+00,0xdd08917881cbda78721c6d05a3e6b9ac1aef5ee9,2025-12-26 03:38:35.868,,0,,,,0,2,false
136,0,true,2025-12-25 18:15:59.742065+00,0x63a0f38b9d5a992b22546cb6afe27c88e29a8079,2025-12-25 21:40:54.464,,0,,,,0,0,false
137,19,true,2025-12-25 18:16:10.529658+00,0x2Cf13f5BeB7FC539d6A421a516dBa150b3E54C08,2025-12-25 21:41:43.537,,13.636363636363635,,,,0,0,false
138,0,true,2025-12-25 18:16:25.705525+00,0x333e8f4fb0353ef31cf1a7d00789e1319381369b,2025-12-26 03:39:34.738,,0,,,,0,20,false
139,0,true,2025-12-25 18:16:41.799891+00,0xf910cc50ec0ceecb18a24dee5b9606b5ffa87467,2025-12-25 21:40:55.309,,0,,,,0,0,false
140,0,true,2025-12-25 18:16:53.206998+00,0x05208f3124596026203c69d741dd07d894ef9708,2025-12-26 03:41:07.636,,0,,,,0,1,false
142,3,true,2025-12-25 18:19:47.751416+00,0x2e0b70d482e6b389e81dea528be57d825dd48070,2025-12-25 21:40:56.16,,63.63636363636363,,,,0,0,false
143,8,true,2025-12-25 18:20:03.32054+00,0x388347b80c42a644fd5266171ee72d0440ef6bb0,2025-12-25 21:41:44.353,,57.14285714285714,,,,0,0,false
144,0,true,2025-12-25 18:20:19.238749+00,0x17792fb9f1d740a48b30a15af76725c86dc94822,2025-12-26 03:39:19.389,,0,,,,0,36,false
145,0,true,2025-12-25 18:20:33.745987+00,0xb03b826a4fc9893b35d3ddf4f11be824525b6ca1,2025-12-26 06:35:46.78,,0,,,,0,20,false
146,0,true,2025-12-25 18:20:48.16294+00,0x8964b58c08b784ecfe1d9344223692263d130bec,2025-12-26 03:41:22.795,,0,,,,0,10,false
147,138,true,2025-12-25 18:21:52.534678+00,0x9703676286b93c2eca71ca96e8757104519a69c2,2025-12-25 21:51:09.845,,32.035928143712574,,,,0,0,false
148,0,true,2025-12-25 18:23:35.511157+00,0xd49c4579bbc25d1d1a26a1976c9576d806c98150,2025-12-25 21:40:57.829,,0,,,,0,0,false
150,0,true,2025-12-25 18:25:24.500737+00,0xb75cebbe80b305baeeb125e05d0ee09eb58e2159,2025-12-25 21:51:10.691,,0,,,,0,0,false
152,9,true,2025-12-25 18:25:50.343669+00,0xf29ff5f7b92d821e631ab37ad240a2dabf945cca,2025-12-25 21:41:45.16,,18.181818181818183,,,,0,0,false
153,9,true,2025-12-25 18:26:04.391651+00,0x8e77537e059837d3c2ca5b4efe75e74e9498c4f3,2025-12-25 21:51:11.981,,66.66666666666666,,,,0,0,false
156,0,true,2025-12-25 18:31:49.350855+00,0xbd027484ac08dd72d33de877fdb7b1d1fc59aba7,2025-12-25 21:51:12.825,,0,,,,0,0,false
157,5,true,2025-12-25 18:32:01.58911+00,0x6765c1c000e3b99c7fffea752c561cb868f1fa0d,2025-12-25 21:40:58.694,,52.63157894736842,,,,0,0,false
158,0,true,2025-12-25 18:32:14.559537+00,0x771d7c5ac82ca8776738e2560f6a6e50d34b440e,2025-12-26 06:38:03.754,,0,,,,0,8,false
159,0,true,2025-12-25 18:33:35.827182+00,0x5350afcd8bd8ceffdf4da32420d6d31be0822fda,2025-12-26 03:38:32.872,simonbanza,0,,,,0,2,false
160,7,true,2025-12-25 18:33:39.835308+00,0x0a55f6b56bd976ae3ddfbffc9c2c4b70a0f9f9be,2025-12-25 21:51:13.684,4444Fours,12.5,,,,0,0,false
161,176,true,2025-12-25 18:33:44.783961+00,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,2025-12-25 21:42:09.092,DrPufferfish,8.585858585858585,,,,0,0,false
162,0,true,2025-12-25 18:35:12.396072+00,0x1bc0d88ca86b9049cf05d642e634836d5ddf4429,2025-12-26 06:35:05.841,212121212121212121212,0,,,,0,7,false
163,2,true,2025-12-25 18:35:16.277786+00,0xbda318d7996bdf1a36f8e557bf38d7abb6a1cab2,2025-12-25 21:51:16.265,0xbda318d7996bDf1a36f8e557bf38d7aBB6a1caB2-1766248799523,0,,,,0,0,false
164,66,true,2025-12-25 18:35:20.000954+00,0xb2e4567925b79231265adf5d54687ddfb761bc51,2025-12-25 21:51:01.071,Cortisfans,1.4925373134328357,,,,0,0,false
165,2,true,2025-12-25 18:35:45.668025+00,0xa49becb692927d455924583b5e3e5788246f4c40,2025-12-25 21:51:17.951,sleepy-panda,0,,,,0,0,false
166,26,true,2025-12-25 18:35:48.652308+00,0xf1ffa0a8bc7cdeb0240027e623b026ced4d0e56a,2025-12-25 21:51:18.797,CcCcChang,0,,,,0,0,false
167,3,true,2025-12-25 18:35:58.433567+00,0x53757615de1c42b83f893b79d4241a009dc2aeea,2025-12-25 21:50:58.498,0x53757615de1c42b83f893b79d4241a009dc2aeea,43.24324324324324,,,,0,0,false
168,0,true,2025-12-25 18:36:27.886272+00,0x8ca8445e5c0dda8dcfeef768c074dbd66b07bf49,2025-12-25 21:51:20.499,dreamerwon,0,,,,0,0,false
169,1,true,2025-12-25 18:36:29.339084+00,0xe73ee729fc8ac69c3ee6ca70dedb3875070574fe,2025-12-25 21:50:59.343,crossfire154,0,,,,0,0,false
170,3,true,2025-12-25 18:36:31.468786+00,0xb889590a2fab0c810584a660518c4c020325a430,2025-12-25 21:51:22.191,Ems123,25,,,,0,0,false
171,81,true,2025-12-25 18:36:35.263358+00,0xc660ae71765d0d9eaf5fa8328c1c959841d2bd28,2025-12-25 21:51:23.023,ChangoChango,0,,,,0,0,false
172,1,true,2025-12-25 18:37:13.180577+00,0xee50a31c3f5a7c77824b12a941a54388a2827ed6,2025-12-25 21:51:23.881,0xafEe,50,,,,0,0,false
173,65,true,2025-12-25 18:37:15.131249+00,0x006cc834cc092684f1b56626e23bedb3835c16ea,2025-12-25 21:51:30.697,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,0,,,,0,0,false
174,81,true,2025-12-25 18:37:39.948331+00,0xef54467264cbc7ae9659e6891d3be20f99afd1ee,2025-12-25 21:51:31.52,Cavs2,0,,,,0,0,false
176,10,true,2025-12-25 18:38:15.006125+00,0xbcc9608ff5481e8452173a2236ffd735fad726fb,2025-12-25 21:51:26.461,210MM,16.666666666666664,,,,0,0,false
177,0,true,2025-12-25 18:38:24.830413+00,0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,2025-12-26 03:43:12.387,0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,0,,,,0,1,false
178,4,true,2025-12-25 18:38:26.822622+00,0xb7a80bcd1584208877677387145d2227b8a814f8,2025-12-25 21:51:27.313,0xb7A80bCd1584208877677387145d2227b8a814f8-1762798186244,0,,,,0,0,false
179,21,true,2025-12-25 18:38:29.677537+00,0xb3dda8a76f79f132b6f1a4b3c89f47474ea4a7e0,2025-12-25 21:51:28.171,BK9496,0,,,,0,0,false
180,90,true,2025-12-25 18:38:37.87158+00,0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c,2025-12-25 21:51:29.034,0x24357454d8d1a0cc93a6c25fd490467372bc2454,5.208333333333334,,,,0,0,false
181,1,true,2025-12-25 18:39:30.201719+00,0xf98dec26318d00d7863746d6aa2347691ee37adb,2025-12-25 21:51:29.858,0xf98DEc26318D00d7863746D6Aa2347691EE37ADb-1765930953808,0,,,,0,0,false
